#混合基金
#2021-08-04
#ID     名字                                               波动率  夏普率  最大回撤     基金成立时间    单笔投最小本金               
#上等马
001532  华安文体健康混合                          21.88   2.26    26.41          2017-06-08      100
673060  西部利得景瑞灵活配置混合A            23.44   2.01    30.16          2016-08-25      100
002943  广发多因子混合                             23.89   2.05    23.67          2016-12-30      100
001856  易方达环保主题混合                       24.48   2.06    21.56          2017-06-02      100

#中等马
005821  万家新机遇龙头企业混合                 23.83   1.84    19.23          2018-05-25      100
166019  中欧价值智选混合A                        19.49   1.06    42.48          2013-05-14      100
001716  工银新趋势灵活配置混合A               16.76   1.62    21.07          2015-12-15      100
001216  易方达新收益混合A                        16.40   1.52    21.54          2015-04-17      100
090018  大成新锐产业混合                          21.04   1.31    45.28          2012-03-20      100        
750001  安信灵活配置混合                          18.53   1.14    35.44          2012-06-20      100
000547  建信健康民生混合                          19.11   1.25    29.93          2014-03-21      100
519133  海富通改革驱动混合                       21.23   1.21    26.01          2016-04-28      100
165516  信诚周期轮动混合(LOF)                  22.41   1.30    50.71          2012-05-07      100
002340  富国价值优势混合                          21.86   1.21    32.22          2016-04-08      100

#下等马
519150  新华优选消费混合                          19.95   0.99    42.01          2012-06-13      100    
001140  工银总回报灵活配置混合A               18.02   0.93    24.14          2015-04-17      100
570008  诺德周期策略混合                          22.19   0.98    53.15          2012-03-21      100
001667  南方转型混合                                19.23   0.82    37.99          2016-08-17      100
540003  汇丰晋信动态策略混合A                  19.34   1.12    53.16          2007-04-09      100

#股票基金
#2021-08-18
#ID     名字                            波动率  夏普率  最大回撤            基金成立时间    单笔投最小本金               
#中等马
005968  创金合信工业周期股票A           29.01   1.76    29.29                  2018-05-17      100      

#下等马
001718  工银物流产业股票                19.30   1.25    24.81                    2016-03-01      100
001644  汇丰晋信智造先锋股票C           26.40   1.09    31.88                2015-09-30      100
519714  交银消费新驱动股票              20.56   1.10    36.57                 2012-11-07      100
001054  工银新金融股票                  20.37   1.14    47.64                    2015-03-19      100
000991  工银战略转型股票A               20.14   1.30    52.59                  2015-02-16      100


#支付宝
#中等马
004997 广发高端制造股票A                26.09   1.83    20.26                  2017-09-01      100
#下等马
000746 招商行业精选股票                 23.13   1.03    34.28                   2014-09-03      100
002079 前海开源中国稀缺资产混合C        23.24   1.02    34.53                 2015-11-19      100
519732 交银定期支付双息平衡混合         16.37   1.18    38.59                  2013-09-04      100
161725 招商中证白酒指数(LOF)A           30.96   1.07    36.01                 2015-05-27      100
160632 鹏华酒A                          28.94   1.04    46.11                       2015-04-29      100
#驽马
270002 广发稳健增长A                    10.90   0.91    14.33                      2004-07-26      100
000778 鹏华先进制造股票                 19.14   0.88    33.20                     2014-11-04      100
206009 鹏华新兴产业混合                 19.58   0.74    25.45                     2011-06-15      100
001469 广发中证全指金融地产ETF联接A     18.49   0.21    28.48                 2015-07-09      100
420102 天弘永利债券B                    3.84   1.57  5.42                  2008-04-18    1000




